Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
COSTA RICA,Las Pailas II,Geothermal,Bagaces (Guanacaste),55,Operational,2019,Instituto Costarricense de Electricidad,State,San José (Costa Rica),https://www.grupoice.com/wps/portal/ICE/electricidad/proyectos-energeticos/de-generacion/!ut/p/z1/pZDBDoIwEES_xS_oFpC2x02DLUKVJiDQi-FESBQ9GL9f7J1K4tw2eTM7GeJIR9w8vKdxeE2Pebgtd-_SK7McqVZQKqYloKlTpCyLmpyR1gMCNddSQgVCSbAZx7woacIsI26LX1UF0jihFbeQgaXx-XIQJjrVG_0rgDnut_lhRQh__f8CLhzfEueR0IIeCE0UKuk3-NXieW8WdTDl4-4DbqxbpA!!/#Proyecto%20geot%C3%A9rmico%20Las%20Pailas%20(Unidad%202),10.7584912,-85.3567427
COSTA RICA,Cacao,Wind,Cacao (Santa Cruz),60,Operational,2019,Cooperativa de Electrificación Rural,Private,Guanacaste (Costa Rica),https://www.coopeguanacaste.com/es/la-coope-informa/noticias/item/593-parque-eolico-cacao-de-coopeguanacaste-beneficiara-a-mas-de-20-000-hogares-guanacastecos,10.3005296,-85.5540357
COSTA RICA,Borinquen,Geothermal,Bagaces (Guanacaste),110,Planned,Undetermined,Instituto Costarricense de Electricidad,State,San José (Costa Rica),https://www.grupoice.com/wps/portal/ICE/electricidad/proyectos-energeticos/de-generacion/!ut/p/z1/pZDBDoIwEES_xS_oFpC2x02DLUKVJiDQi-FESBQ9GL9f7J1K4tw2eTM7GeJIR9w8vKdxeE2Pebgtd-_SK7McqVZQKqYloKlTpCyLmpyR1gMCNddSQgVCSbAZx7woacIsI26LX1UF0jihFbeQgaXx-XIQJjrVG_0rgDnut_lhRQh__f8CLhzfEueR0IIeCE0UKuk3-NXieW8WdTDl4-4DbqxbpA!!/#Proyecto%20geot%C3%A9rmico%20Borinquen,10.806365,-85.423961
CUBA,La Herradura I-II,Wind,Jesús Menéndez (Las Tunas),101,Under construction,Undetermined,Empresa Eléctrica Las Tunas,State,Las Tunas (Cuba),www.unionelectrica.cu,21.2622643,-76.3994623
CURAZAO,Playa Kanoa,Wind,Playa Kanoa,15,Operational,2001,NuCapital,Private,Willemstad (Aruba),http://nucapitalsvcs.com/index.php/projects/29-playa-kanoa-and-tera-kora-curacao,12.1717121,-68.8665085
CURAZAO,Tera Kora I,Wind,San Pedro,15,Operational,1993,NuCapital,Private,Willemstad (Aruba),http://nucapitalsvcs.com/index.php/projects/62-tera-kora-curacao,12.2390608,-69.031022
CURAZAO,Tera Kora III,Wind,San Pedro,16.5,Operational,2017,NuCapital,Private,Willemstad (Aruba),http://nucapitalsvcs.com/index.php/projects/61-tera-kora-iii-curacao,12.2156573,-69.006453
Dominican Republic,Canoa Solar,Solar,Barahona,25,Operational,2020,Emerald Solar Energy (Potentia Renewables/Grupo Cisneros),Private,Toronto (Canada),https://potentiaprod.wpengine.com/?post_type=project&p=3211,18.3474477,-71.1425473
Dominican Republic,Monte Plata,Solar,Monte Plata,30,Operational,2016,MPC Caribbean Clean Energy Fund LLC (MPC Caribbean Clean Energy Fund/ANSA McAI),Private,St. Michael (Barbados),https://www.mpc-cleanenergy.com/,18.8201014,-69.7919716
Dominican Republic,Matafongo,Wind,Baní,34,Operational,2019,InterEnergy Group/Fon­do Cerrado de Desarrollo de Sociedades Popular,Private,New York (US),https://interenergy.com/portfolio/,18.2641951,-70.4931233
Dominican Republic,Los Guzmancitos,Wind,Puerto Plata,48,Operational,2019,Poseidón Energía Renovable. S.A. (Valorem),Private,Santo Domingo (Dominican Republic),https://www.cne.gob.do/parque-eolico-los-guzmancito/,19.8767606,-70.8345248
Dominican Republic,Agua Clara,Wind,Montecristi,50,Operational,2019,Inkie Energy Inc. (I Squared Capital),Private,Lima (Perú),https://inkiaenergy.com/negocios/nuestro-portafolio/,19.6937702,-71.222699
Dominican Republic,El Guanillo,Wind,El Copey,50,Operational,2019,Akuo Energy,Private,París (France),https://www.akuoenergy.com/en/pecasa,19.7964113,-71.3218311
Dominican Republic,Los Guzmancitos II,Wind,Puerto Plata,50,Planned,Undetermined,Poseidón Energía Renovable. S.A. (Valorem),Private,Santo Domingo (Dominican Republic),https://www.cne.gob.do/parque-eolico-los-guzmancitos-fase-ii/,,
Dominican Republic,Bayasol,Solar,Matanzas,50,Operational,2021,AES Dominicana,Private,Santo Domingo (Dominican Republic),https://www.grupotsk.com/el-presidente-de-republica-dominicana-luis-abinader-inaugura-la-planta-solar-aes-bayasol-suministrada-por-tsk/,18.3256102,-70.4433777
Dominican Republic,Mata de Palma,Solar,San Antonio de Guerra,50,Operational,2019,WCG Energy. Ltd,Private,Glendale (US),https://washingtoncapitalenergy.com/about-us/,18.6635406,-69.6252591
Dominican Republic,Montecristi Solar,Solar,Montecristi,58,Operational,2018,Montecristi Solar FV SAS (F&S Solar Concept/Blue Elephant Energy),Private,Esperilla (Dominican Republic),https://fs-sun.com/references/solar-parks/largest-solar-power-plant-(116-mw)-in-the-caribbean,19.708796,-71.379932
Dominican Republic,Santanasol,Solar,Peravia,65,Under construction,Undetermined,AES Dominicana,Private,Santo Domingo (Dominican Republic),https://www.cne.gob.do/parque-santanasol/,18.269486,-70.258426
Dominican Republic,Los Cocos I-II-III-IV,Wind,Pedernales,85,Operational,2010-2011-2013,EGE Haina,Private,Santo Domingo (Dominican Republic),https://www.egehaina.com/Centrales?name=LOSCOCOS,17.8751719,-71.291064
Dominican Republic,Larimar I-II,Wind,Barahona,97.8,Operational,2016-2018,EGE Haina,Private,Santo Domingo (Dominican Republic),https://www.egehaina.com/Centrales?name=Larimar,17.9007286,-71.2481073
Dominican Republic,Puerto Plata Imbert,Wind,Puerto Plata,115,Operational,2020,Jasper Caribbean Windpower LLC,Private,Santo Domingo (Dominican Republic),http://perco.com.do/energia-renovable/,19.7614355,-70.9746073
Dominican Republic,Girasol,Solar,Yaguate,120,Operational,2021,EGE Haina,Private,Santo Domingo (Dominican Republic),https://www.egehaina.com/Centrales?name=Girasol,18.335109,-70.199318
Dominican Republic,EDP Baní,Solar,Peravia,160,Planned,Undetermined,EDP Energías Renovables Dominicana S.A. (Energy Development Partners),Undetermined,Santo Domingo (Dominican Republic),https://www.cne.gob.do/edp-energias-renovables-dominicana-s/,18.3644923,-70.4581074
Ecuador,PANELES PASTAZA,Solar,Pastaza,0.2,Operational,2018,EMPRESA ELÉCTRICA AMBATO REGIONAL CENTRO NORTE S. A.,State,Ambato (Ecuador),https://www.recursosyenergia.gob.ec/wp-content/uploads/2020/01/4.-EXPANSION-DE-LA-GENERACION.pdf,-2.46305,-76.993661
Ecuador,ISABELA SOLAR,Solar,Galapagos,0.95,Operational,2018,ELECGALAPAGOS S.A.,State,Galápagos (Ecuador),https://www.elecgalapagos.com.ec/proyectos,-0.947167,-90.957911
